zipcode,number_of_customers,Percentage
37614,109,0.02
60612,109,0.02
77450,109,0.02
85234,109,0.02
92020,109,0.02
92508,109,0.02
92832,109,0.02
95207,109,0.02
02458,109,0.02
06708,109,0.02
20814,109,0.02
98409,109,0.02
75082,108,0.02
84403,108,0.02
91303,108,0.02
92506,108,0.02
97132,108,0.02
06611,108,0.02
23464,108,0.02
01772,107,0.02
03102,107,0.02
19139,107,0.02
45324,107,0.02
77057,107,0.02
80015,107,0.02
80020,107,0.02
92704,107,0.02
97006,107,0.02
79413,106,0.02
90033,106,0.02
92801,106,0.02
95062,106,0.02
95822,106,0.02
01701,106,0.02
01810,106,0.02
06105,106,0.02
10006,106,0.02
12205,106,0.02
12222,106,0.02
18704,106,0.02
98072,106,0.02
48187,106,0.02
49006,106,0.02
55803,106,0.02
60626,105,0.02
12601,105,0.02
17601,105,0.02
19102,105,0.02
20855,105,0.02
89512,105,0.02
94611,105,0.02
94803,105,0.02
95110,105,0.02
97756,105,0.02
98003,105,0.02
98032,104,0.02
10014,104,0.02
12183,104,0.02
14586,104,0.02
15237,104,0.02
22802,104,0.02
27513,104,0.02
32819,104,0.02
60563,104,0.02
74132,104,0.02
77098,104,0.02
78750,104,0.02
90065,104,0.02
94117,104,0.02
95118,104,0.02
77024,103,0.02
80111,103,0.02
84604,103,0.02
90004,103,0.02
92708,103,0.02
95835,103,0.02
97236,103,0.02
02905,103,0.02
22044,103,0.02
98498,103,0.02
63017,103,0.02
33637,102,0.02
35205,102,0.02
42718,102,0.02
55021,102,0.02
02915,102,0.02
10461,102,0.02
15705,102,0.02
19426,102,0.02
84770,102,0.02
90731,102,0.02
95120,102,0.02
77063,101,0.02
77072,101,0.02
85381,101,0.02
91504,101,0.02
93720,101,0.02
07047,101,0.02
10583,101,0.02
11216,101,0.02
19096,101,0.02
34210,101,0.02
54880,101,0.02
57701,101,0.02
60640,101,0.02
30269,100,0.02
33324,100,0.02
61107,100,0.02
03104,100,0.02
21401,100,0.02
28213,100,0.02
80112,100,0.02
80631,100,0.02
90804,100,0.02
92647,100,0.02
95776,100,0.02
98926,100,0.02
04473,99,0.02
06084,99,0.02
06320,99,0.02
08002,99,0.02
13502,99,0.02
19111,99,0.02
48083,99,0.02
54449,99,0.02
90505,99,0.02
92101,99,0.02
93063,99,0.02
63132,98,0.02
64468,98,0.02
91381,98,0.02
91601,98,0.02
92093,98,0.02
94565,98,0.02
95501,98,0.02
95829,98,0.02
97378,98,0.02
02917,98,0.02
14222,98,0.02
26003,98,0.02
43607,98,0.02
58201,98,0.02
30458,97,0.02
44236,97,0.02
48307,97,0.02
48375,97,0.02
90630,97,0.02
94547,97,0.02
97206,97,0.02
20057,97,0.02
20871,97,0.02
22204,97,0.02
27560,97,0.02
28027,97,0.02
01844,96,0.02
02038,96,0.02
04217,96,0.02
06457,96,0.02
08550,96,0.02
32246,96,0.02
98026,96,0.02
77083,96,0.02
80204,96,0.02
91304,96,0.02
93021,96,0.02
75034,95,0.02
78751,95,0.02
80016,95,0.02
90019,95,0.02
93536,95,0.02
32225,95,0.02
33160,95,0.02
37205,95,0.02
54022,95,0.02
08753,95,0.02
21228,95,0.02
29205,95,0.02
02132,94,0.02
04553,94,0.02
07002,94,0.02
27410,94,0.02
30350,94,0.02
30601,94,0.02
32256,94,0.02
33458,94,0.02
43017,94,0.02
43221,94,0.02
52402,94,0.02
78412,94,0.02
78701,94,0.02
84606,94,0.02
85202,94,0.02
89178,94,0.02
90046,94,0.02
91910,94,0.02
98053,94,0.02
33178,93,0.02
37211,93,0.02
43016,93,0.02
47374,93,0.02
02914,93,0.02
06514,93,0.02
19341,93,0.02
23454,93,0.02
29203,93,0.02
05404,92,0.02
07666,92,0.02
08807,92,0.02
32612,92,0.02
35470,92,0.02
38017,92,0.02
39402,92,0.02
45431,92,0.02
55311,92,0.02
75039,92,0.02
92260,92,0.02
63146,91,0.02
66762,91,0.02
77007,91,0.02
78258,91,0.02
84123,91,0.02
91206,91,0.02
93551,91,0.02
95130,91,0.02
97223,91,0.02
