order_date,total_purchases
2016-12-28,1302
2016-02-16,1297
2016-12-06,1297
2016-03-05,1296
2016-01-14,1287
2016-12-19,1286
2016-04-20,1284
2016-04-18,1281
2016-02-17,1277
2016-05-08,1277
2016-01-12,1276
2016-03-13,1276
2016-11-30,1268
2016-02-20,1256
2016-03-14,1255
2016-05-28,1255
2016-12-03,1247
2016-01-13,1245
2016-04-07,1242
2016-03-04,1235
2016-04-11,1230
2016-02-23,1229
2016-02-09,1225
2016-04-06,1220
2016-06-07,1214
2016-12-05,1213
2016-05-11,1204
2016-05-04,1198
2016-03-10,1197
2016-04-15,1197
2016-04-28,1197
2016-03-09,1187
2016-03-26,1185
2016-04-27,1180
2016-01-09,1179
2016-03-24,1178
2016-05-21,1175
2016-02-14,1168
2016-04-19,1168
2016-05-10,1164
2016-01-11,1160
2016-06-08,1155
2016-04-03,1152
2016-04-21,1144
2016-05-18,1137
2016-05-22,1134
2016-02-13,1132
2016-01-01,1127
2016-04-12,1127
2016-02-19,1120
2016-05-15,1114
2016-03-12,1108
2016-05-14,1107
2016-05-29,1107
2016-04-04,1103
2016-04-14,1102
2016-02-10,1100
2016-05-16,1100
2016-03-11,1093
2016-03-30,1087
2016-03-15,1084
2016-05-05,1077
2016-05-23,1077
2016-05-09,1076
2016-12-02,1076
2016-05-20,1053
2016-05-19,1049
2016-04-13,1047
2016-01-05,1045
2016-08-14,1043
2016-06-01,1042
2016-06-06,1041
2016-05-27,1038
2016-01-06,1037
2016-03-16,1035
2016-07-31,1028
2016-01-04,1021
2016-02-11,1021
2016-03-25,1014
2016-05-12,1011
2016-08-08,1007
2016-05-17,1006
2016-06-17,1004
2016-07-27,1001
2016-01-07,998
2016-07-04,997
2016-03-31,992
2016-05-07,977
2016-07-22,977
2016-08-02,976
2016-06-20,975
2016-08-13,966
2016-05-13,960
2016-06-19,960
2016-05-31,957
2016-08-01,945
2016-01-08,935
2016-08-04,935
2016-08-07,935
2016-02-12,933
2016-08-06,933
2016-07-25,928
2016-05-24,923
2016-06-29,923
2016-07-08,921
2016-05-06,918
2016-07-18,914
2016-06-23,911
2016-04-02,909
2016-06-04,908
2016-08-09,904
2016-05-25,899
2016-08-03,898
2016-06-09,896
2016-08-05,896
2016-06-05,889
2016-07-26,888
2016-08-11,878
2016-06-26,877
2016-07-14,871
2016-06-27,868
2016-06-21,867
2016-07-09,865
2016-07-11,865
2016-06-25,857
2016-06-15,853
2016-07-17,850
2016-07-10,849
2016-07-06,840
2016-06-22,831
2016-07-24,826
2016-07-13,813
2016-07-23,813
2016-07-21,812
2016-07-01,811
2016-07-28,798
2016-07-02,792
2016-06-03,790
2016-06-02,784
2016-06-18,784
2016-07-07,783
2016-07-19,767
2016-07-29,767
2016-06-13,765
2016-07-16,760
2016-07-05,755
2016-06-12,753
2016-07-30,753
2016-06-24,744
2016-06-28,737
2016-07-15,731
2016-06-14,729
2016-07-20,729
2016-07-03,726
2016-06-11,690
2016-06-10,687
